CHR,POS,clone1_A_true,clone8_A_true,clone12_A_true,clone13_A_true,clone14_A_true,clone15_A_true,clone16_A_true,clone18_A_true,clone19_A_true,clone20_A_true,clone21_A_true,segment,clone1_B_true,clone8_B_true,clone12_B_true,clone13_B_true,clone14_B_true,clone15_B_true,clone16_B_true,clone18_B_true,clone19_B_true,clone20_B_true,clone21_B_true,chr,start,end
19,27491226,2,2,2,2,2,1,2,2,2,2,2,10_117486910_121689092,2,2,2,2,2,2,2,2,2,2,2,chr19,117486910,121689092
12,124760006,2,2,2,2,2,2,2,2,2,2,2,11_72540380_77103657,2,2,2,2,2,2,2,2,2,2,2,chr12,72540380,77103657
10,97944665,0,0,2,0,0,0,0,0,2,2,2,4_44626675_44699484,4,4,2,4,4,4,4,4,2,2,2,chr10,44626675,44699484
4,128414681,2,2,2,2,2,1,2,2,2,2,2,17_9142991_21191231,2,2,2,2,2,2,2,2,2,2,2,chr4,9142991,21191231
13,57603785,2,2,2,2,2,2,2,2,2,2,2,16_71095986_73164799,2,2,2,2,2,2,2,2,2,2,2,chr13,71095986,73164799
11,26574729,2,2,2,2,2,2,2,2,2,2,2,8_144873779_146279571,2,2,2,2,2,2,2,2,2,2,2,chr11,144873779,146279571
15,63851272,4,4,4,4,4,4,4,4,4,4,4,22_24582236_26219605,2,2,2,2,2,2,2,2,2,2,2,chr15,24582236,26219605
10,14216673,2,2,2,2,2,2,2,2,2,2,2,18_28584185_28737289,2,2,2,2,2,2,2,2,2,2,2,chr10,28584185,28737289
10,44429016,3,3,3,3,3,3,3,3,3,3,3,12_51404467_53509339,2,2,2,2,2,2,2,2,2,2,2,chr10,51404467,53509339
15,75260091,2,2,2,2,2,2,2,2,1,1,1,9_124241456_125134105,2,2,2,2,2,2,2,2,2,2,2,chr15,124241456,125134105
13,12416284,0,2,2,2,2,2,0,0,2,2,2,15_101775373_102389791,4,2,2,2,2,2,4,4,2,2,2,chr13,101775373,102389791
11,116696217,3,3,3,3,3,3,3,3,3,3,3,22_26222247_26932462,3,3,3,3,3,3,3,3,3,3,3,chr11,26222247,26932462
5,166708160,2,2,2,2,2,2,2,2,2,2,2,10_15262921_16553115,2,2,2,2,2,2,2,2,2,2,2,chr5,15262921,16553115
3,127492896,2,2,2,2,2,2,2,2,2,2,2,19_29567134_33353205,3,3,2,3,3,3,3,3,2,2,2,chr3,29567134,33353205
15,75855495,0,2,2,2,2,2,0,0,2,2,2,8_49832861_65488839,4,2,2,2,2,2,4,4,2,2,2,chr15,49832861,65488839
10,79814737,4,4,4,4,4,4,4,4,4,4,4,16_23315276_30199855,4,4,4,4,4,4,4,4,4,4,4,chr10,23315276,30199855
6,38814019,2,2,2,2,2,2,2,2,2,2,2,13_101721029_103473475,2,2,2,2,2,2,2,2,2,2,2,chr6,101721029,103473475
14,6249189,2,2,2,2,2,2,2,2,2,2,2,9_68372357_71714741,1,1,2,1,1,1,1,1,2,2,2,chr14,68372357,71714741
5,15120920,2,2,2,2,2,2,2,2,2,2,2,7_142499970_148480845,2,2,2,2,2,2,2,2,2,2,2,chr5,142499970,148480845
19,34914734,4,4,4,4,4,4,4,4,4,4,4,4_13600728_25929840,2,2,2,2,2,2,2,2,2,2,2,chr19,13600728,25929840
15,24607947,2,2,2,2,2,2,2,2,2,2,2,11_92507204_93494841,1,2,2,2,2,2,2,1,2,2,2,chr15,92507204,93494841
9,80424650,2,2,2,2,2,2,2,2,2,2,2,2_101564671_101666946,2,2,2,2,2,2,2,2,2,2,2,chr9,101564671,101666946
9,9194014,2,2,2,2,2,2,2,2,2,2,2,1_144879375_145096660,2,2,2,2,2,2,2,2,2,2,2,chr9,144879375,145096660
3,196497976,2,2,2,2,2,2,2,2,2,2,2,6_94067981_118886962,3,2,2,2,2,2,3,3,2,2,2,chr3,94067981,118886962
10,39467956,3,3,3,3,3,3,3,3,3,3,3,1_6133749_6204225,2,2,2,2,2,2,2,2,2,2,2,chr10,6133749,6204225
2,40709982,2,2,2,2,2,2,2,2,2,2,2,12_64055269_70290875,4,4,4,4,4,4,4,4,4,4,4,chr2,64055269,70290875
2,136695822,2,0,2,2,0,0,2,2,2,2,2,20_30070239_31829299,2,4,2,2,4,4,2,2,2,2,2,chr2,30070239,31829299
7,154221456,2,2,2,2,2,2,2,2,2,2,1,12_41303903_49521710,2,2,2,2,2,2,2,2,2,2,2,chr7,41303903,49521710
7,15501005,2,2,2,2,2,2,2,2,2,2,2,10_73956553_115922405,2,2,2,2,2,2,2,2,2,2,2,chr7,73956553,115922405
2,87774396,2,2,2,2,2,2,2,2,2,2,2,11_1480446_1629334,2,2,2,2,2,2,2,2,2,2,2,chr2,1480446,1629334
16,69406990,2,2,2,2,2,2,2,2,2,2,2,2_234704495_240500249,3,3,3,3,3,3,3,3,3,3,3,chr16,234704495,240500249
6,102308989,2,2,2,2,2,2,2,2,2,2,2,3_4358859_6903374,2,2,2,2,2,2,2,2,2,2,2,chr6,4358859,6903374
15,52563250,3,3,3,3,3,3,3,3,3,3,3,15_64367745_67855704,2,2,2,2,2,2,2,2,2,2,2,chr15,64367745,67855704
1,209319985,2,2,2,2,2,2,2,2,0,0,0,11_59225221_60541466,2,2,2,2,2,2,2,2,4,4,4,chr1,59225221,60541466
2,239562131,2,2,2,2,2,2,2,2,2,2,2,14_32476067_64902493,2,2,2,2,2,2,2,2,2,2,2,chr2,32476067,64902493
18,71452372,3,3,3,3,3,3,3,3,3,3,3,7_50531193_55005796,2,2,2,2,2,2,2,2,2,2,2,chr18,50531193,55005796
2,122980855,2,2,2,2,2,2,2,2,2,2,2,16_84035844_84097139,0,0,0,0,0,0,0,0,0,0,0,chr2,84035844,84097139
6,138574860,3,3,3,3,3,3,3,3,3,3,3,19_2210488_3251116,3,3,3,3,3,3,3,3,3,3,3,chr6,2210488,3251116
16,65026723,2,2,2,2,2,2,2,2,2,2,2,3_41979701_43597003,2,1,2,2,2,2,2,2,2,2,2,chr16,41979701,43597003
8,119780017,3,3,3,3,3,3,3,3,3,3,3,1_174979001_176133083,3,3,3,3,3,3,3,3,3,3,3,chr8,174979001,176133083
15,34246894,2,2,2,2,2,2,2,2,2,2,2,6_42094614_42541610,2,2,2,2,2,2,2,2,2,2,2,chr15,42094614,42541610
9,139237535,2,2,2,2,2,2,2,2,2,1,2,14_104570733_104643745,2,2,2,2,2,2,2,2,2,2,2,chr9,104570733,104643745
18,60812414,2,2,2,2,2,2,2,2,2,2,2,19_7427657_8578016,2,2,2,2,2,2,2,2,2,2,2,chr18,7427657,8578016
5,29931496,2,2,2,2,2,2,2,2,2,2,2,14_91943206_92582472,1,1,2,1,1,1,1,1,2,2,2,chr5,91943206,92582472
3,110209355,4,4,4,4,4,4,4,4,4,4,4,12_49719221_50191183,4,4,4,4,4,4,4,4,4,4,4,chr3,49719221,50191183
9,36086656,3,3,3,3,3,3,3,3,3,3,3,16_1244964_1507775,2,2,2,2,2,2,2,2,2,2,2,chr9,1244964,1507775
20,56183267,4,4,4,4,4,4,4,4,4,4,4,2_95326172_95946943,0,0,0,0,0,0,0,0,0,0,0,chr20,95326172,95946943
7,73977460,4,4,4,4,4,4,4,4,4,4,4,7_70886065_76255032,2,2,2,2,2,2,2,2,2,2,2,chr7,70886065,76255032
14,50880156,3,3,3,3,3,3,3,3,3,3,3,10_128209745_129910252,3,3,3,3,3,3,3,3,3,3,3,chr14,128209745,129910252
1,216339546,2,2,2,2,2,2,2,2,2,2,2,4_71458188_79531318,3,3,3,3,3,3,3,3,3,3,3,chr1,71458188,79531318
9,136368447,2,2,2,2,2,2,2,2,2,2,2,22_23505084_23595924,2,2,2,2,2,2,2,2,2,2,2,chr9,23505084,23595924
6,17926554,4,4,4,4,4,4,4,4,4,4,4,19_54080140_54261475,2,2,2,2,2,2,2,2,2,2,2,chr6,54080140,54261475
4,10732089,4,4,4,4,4,4,4,4,4,4,4,11_2609883_3060292,2,2,2,2,2,2,2,2,2,2,2,chr4,2609883,3060292
9,117225335,2,2,2,2,2,2,2,2,2,0,2,9_116778237_117430611,2,2,2,2,2,2,2,2,2,4,2,chr9,116778237,117430611
21,21258976,4,4,2,4,4,4,4,4,2,2,2,6_4032322_5086818,0,0,2,0,0,0,0,0,2,2,2,chr21,4032322,5086818
3,162555303,2,2,2,2,2,2,2,2,1,1,1,6_154727536_160468309,2,2,2,2,2,2,2,2,2,2,2,chr3,154727536,160468309
1,98889789,2,1,2,2,2,2,2,2,2,2,2,15_73735440_75890842,2,2,2,2,2,2,2,2,2,2,2,chr1,73735440,75890842
6,108991341,4,4,4,4,4,4,4,4,4,4,4,16_717497_863774,2,2,2,2,2,2,2,2,2,2,2,chr6,717497,863774
20,51708843,2,2,2,2,2,2,2,2,2,2,2,20_3655138_3673445,2,2,2,2,2,2,2,2,2,2,2,chr20,3655138,3673445
14,16558236,4,4,4,4,4,4,4,4,4,4,4,11_30352557_42262575,2,2,2,2,2,2,2,2,2,2,2,chr14,30352557,42262575
1,158808380,2,2,2,2,2,2,2,2,2,2,2,10_13350498_14425185,2,2,2,2,2,2,2,2,2,2,2,chr1,13350498,14425185
6,127303051,2,2,2,2,2,2,2,2,2,2,2,18_11752797_14752957,2,2,2,2,2,2,2,2,2,2,2,chr6,11752797,14752957
8,45050790,2,2,2,2,2,2,2,2,2,2,2,11_244129_244414,4,4,4,4,4,4,4,4,4,4,4,chr8,244129,244414
16,42212466,2,2,2,2,2,2,2,2,2,2,2,16_30364544_30785450,2,2,2,2,2,2,2,2,2,2,2,chr16,30364544,30785450
14,47790452,2,2,2,2,2,2,2,2,2,2,2,2_54482989_55155452,4,4,4,4,4,4,4,4,4,4,4,chr14,54482989,55155452
1,53602146,4,4,4,4,4,4,4,4,4,4,4,5_1494764_6020408,2,2,2,2,2,2,2,2,2,2,2,chr1,1494764,6020408
10,9203994,2,2,2,2,2,2,2,2,2,2,2,21_37414146_39089513,4,4,4,4,4,4,4,4,4,4,4,chr10,37414146,39089513
3,51928382,3,3,3,3,3,3,3,3,3,3,3,19_56390086_56693667,2,2,2,2,2,2,2,2,2,2,2,chr3,56390086,56693667
3,116563234,3,3,3,3,3,3,3,3,3,3,3,7_105135603_107002948,3,3,3,3,3,3,3,3,3,3,3,chr3,105135603,107002948
15,15644634,2,2,2,2,2,2,2,2,0,0,0,14_20764422_21026775,2,2,2,2,2,2,2,2,4,4,4,chr15,20764422,21026775
2,240470361,2,4,2,2,4,4,2,2,2,2,2,8_36642082_39581395,2,0,2,2,0,0,2,2,2,2,2,chr2,36642082,39581395
14,97007851,2,2,2,2,2,2,2,2,2,2,2,1_1991099_3549890,2,2,2,2,2,2,2,2,2,2,2,chr14,1991099,3549890
4,167189795,2,2,2,2,2,2,2,2,2,2,2,7_116546394_123152019,4,4,4,4,4,4,4,4,4,4,4,chr4,116546394,123152019
2,205407757,3,3,3,3,3,3,3,3,3,3,3,21_17962661_36422478,3,3,3,3,3,3,3,3,3,3,3,chr2,17962661,36422478
15,89933584,2,2,2,2,2,2,2,2,2,2,2,20_44596998_45130217,1,1,2,1,1,1,1,1,2,2,2,chr15,44596998,45130217
1,105823161,2,2,2,2,2,2,2,2,2,2,2,20_18393499_23350690,2,2,2,2,2,2,2,2,2,2,2,chr1,18393499,23350690
2,64875515,3,3,3,3,3,3,3,3,3,3,3,16_3273964_4257922,3,3,3,3,3,3,3,3,3,3,3,chr2,3273964,4257922
14,83401993,2,2,2,2,2,2,2,2,2,2,2,16_89187204_89799950,2,2,2,2,2,2,2,2,2,2,2,chr14,89187204,89799950
22,13237970,2,2,2,2,2,2,2,2,1,1,1,18_28737299_29027757,2,2,2,2,2,2,2,2,2,2,2,chr22,28737299,29027757
17,73162341,4,2,2,2,2,2,2,2,2,2,2,20_25263756_26369568,0,2,2,2,2,2,2,2,2,2,2,chr17,25263756,26369568
8,83924415,1,2,2,2,2,2,1,1,2,2,2,4_100048391_104016230,2,2,2,2,2,2,2,2,2,2,2,chr8,100048391,104016230
20,57757721,1,1,2,1,1,1,1,1,2,2,2,10_131934564_132932794,2,2,2,2,2,2,2,2,2,2,2,chr20,131934564,132932794
5,81966510,2,2,2,2,2,2,2,2,2,2,2,15_34042289_40684132,4,4,4,4,4,4,4,4,4,4,4,chr5,34042289,40684132
8,8244293,2,2,2,2,2,2,2,2,2,2,2,21_39325234_44836800,1,2,2,2,2,2,2,2,2,2,2,chr8,39325234,44836800
4,172081645,3,3,3,3,3,3,3,3,3,3,3,4_5925073_5966943,2,2,2,2,2,2,2,2,2,2,2,chr4,5925073,5966943
20,490579,2,2,2,2,2,2,2,2,2,2,2,3_133098621_136739340,4,4,4,4,4,4,4,4,4,4,4,chr20,133098621,136739340
14,68569440,2,2,2,2,2,2,2,2,2,2,2,20_57572639_58646078,2,2,2,2,2,2,2,2,2,2,2,chr14,57572639,58646078
12,38023599,2,2,2,2,2,2,2,2,1,1,1,17_76522784_78264380,2,2,2,2,2,2,2,2,2,2,2,chr12,76522784,78264380
20,17042414,4,4,4,4,4,4,4,4,4,4,4,6_49803199_50686966,4,4,4,4,4,4,4,4,4,4,4,chr20,49803199,50686966
8,43933171,2,2,2,2,2,2,2,2,2,2,2,14_79746679_91942342,2,2,2,2,2,1,2,2,2,2,2,chr8,79746679,91942342
8,8624367,4,4,4,4,4,4,4,4,4,4,4,13_19962045_20346491,2,2,2,2,2,2,2,2,2,2,2,chr8,19962045,20346491
1,209546204,2,2,2,2,2,2,2,2,2,2,2,12_101723239_101880588,2,1,2,2,2,2,2,2,2,2,2,chr1,101723239,101880588
4,3242712,2,2,2,2,2,2,2,2,2,2,2,5_40945526_44809157,2,2,2,2,2,2,2,2,2,2,1,chr4,40945526,44809157
3,171749253,2,2,2,2,2,2,2,2,2,2,2,19_12576573_14717822,3,3,3,3,3,3,3,3,3,3,3,chr3,12576573,14717822
3,29006372,2,2,2,2,2,2,2,2,2,2,2,17_25620868_26864264,2,2,2,2,2,2,2,2,2,2,2,chr3,25620868,26864264
8,101885027,2,4,2,2,4,4,2,2,2,2,2,1_233514925_234953722,2,0,2,2,0,0,2,2,2,2,2,chr8,233514925,234953722
9,98069921,1,1,2,1,1,1,1,1,2,2,2,7_149981830_152550785,2,2,2,2,2,2,2,2,2,2,2,chr9,149981830,152550785
11,21355020,4,4,4,4,4,4,4,4,4,4,4,2_31756640_39996316,0,0,0,0,0,0,0,0,0,0,0,chr11,31756640,39996316
3,91088107,1,2,2,2,2,2,2,1,2,2,2,17_79223847_79827803,2,2,2,2,2,2,2,2,2,2,2,chr3,79223847,79827803
1,163968260,2,2,2,2,2,2,2,2,2,2,2,16_19716505_20410640,2,2,2,2,2,2,2,2,2,2,2,chr1,19716505,20410640
20,47809914,2,2,2,2,2,0,2,2,2,2,2,20_6064710_8770768,2,2,2,2,2,4,2,2,2,2,2,chr20,6064710,8770768
19,22106466,1,1,2,1,1,1,1,1,2,2,2,16_46508175_48247523,2,2,2,2,2,2,2,2,2,2,2,chr19,46508175,48247523
4,163108074,1,2,2,2,2,2,1,1,2,2,2,16_11348706_12759027,2,2,2,2,2,2,2,2,2,2,2,chr4,11348706,12759027
3,171505514,4,4,4,4,4,4,4,4,4,4,4,11_130750660_134856707,4,4,4,4,4,4,4,4,4,4,4,chr3,130750660,134856707
4,24461045,0,2,2,2,2,2,2,2,2,2,2,16_97409_460797,4,2,2,2,2,2,2,2,2,2,2,chr4,97409,460797
14,82770396,2,2,2,2,2,2,2,2,2,2,2,19_14719854_15882980,2,2,2,2,2,2,2,2,2,2,2,chr14,14719854,15882980
4,89355195,2,2,2,2,2,2,2,2,2,2,2,11_6655433_8668180,4,4,4,4,4,4,4,4,4,4,4,chr4,6655433,8668180
3,160610319,2,2,2,2,2,2,2,2,2,2,2,10_134144898_134145288,2,2,2,2,2,2,2,2,2,2,2,chr3,134144898,134145288
9,65358546,2,4,2,2,4,4,2,2,2,2,2,1_200522566_205492282,2,0,2,2,0,0,2,2,2,2,2,chr9,200522566,205492282
20,16247091,4,4,4,4,4,4,4,4,4,4,4,12_62784789_63544601,4,4,4,4,4,4,4,4,4,4,4,chr20,62784789,63544601
14,104177833,2,2,2,2,2,2,2,2,2,2,2,16_21245101_22437768,2,2,2,2,2,2,2,2,2,2,2,chr14,21245101,22437768
3,173819447,2,2,2,2,2,2,2,2,2,2,2,19_44038465_44983730,1,2,2,2,2,2,2,2,2,2,2,chr3,44038465,44983730
13,78201258,4,4,4,4,4,4,4,4,4,4,4,11_3239184_3400422,4,4,4,4,4,4,4,4,4,4,4,chr13,3239184,3400422
2,81019161,2,2,2,2,2,2,2,2,2,2,2,17_74557681_76522659,2,2,2,2,2,2,2,2,2,2,2,chr2,74557681,76522659
18,9894904,1,1,2,1,1,1,1,1,2,2,2,12_9229928_10138708,2,2,2,2,2,2,2,2,2,2,2,chr18,9229928,10138708
4,141708524,1,2,2,2,2,2,2,1,2,2,2,17_79846216_81083520,2,2,2,2,2,2,2,2,2,2,2,chr4,79846216,81083520
1,94100085,2,2,2,2,2,2,2,2,2,2,2,9_129812210_131553991,3,3,3,3,3,3,3,3,3,3,3,chr1,129812210,131553991
13,110609117,3,3,3,3,3,3,3,3,3,3,3,2_180815329_183106714,3,3,3,3,3,3,3,3,3,3,3,chr13,180815329,183106714
10,64176708,2,2,2,2,2,2,2,2,2,2,2,2_133540714_140990917,2,2,2,2,2,2,2,2,2,2,2,chr10,133540714,140990917
8,12511958,2,2,2,2,2,2,2,2,2,1,2,11_5809396_5878948,2,2,2,2,2,2,2,2,2,2,2,chr8,5809396,5878948
17,36560106,2,2,2,2,2,2,2,2,2,2,2,3_23364883_41960004,2,2,2,2,2,2,2,2,2,2,2,chr17,23364883,41960004
3,113222968,2,2,2,2,2,2,2,2,2,2,2,9_123671746_124241369,2,2,2,2,2,2,2,2,2,2,2,chr3,123671746,124241369
16,25157172,2,2,2,2,2,2,2,2,1,1,1,16_81211548_81816818,2,2,2,2,2,2,2,2,2,2,2,chr16,81211548,81816818
15,2523843,3,3,3,3,3,3,3,3,3,3,3,19_56694472_59083902,3,3,3,3,3,3,3,3,3,3,3,chr15,56694472,59083902
5,372472,2,2,2,2,2,2,2,2,2,4,2,2_10717806_10995161,2,2,2,2,2,2,2,2,2,0,2,chr5,10717806,10995161
21,35889906,2,2,2,2,2,2,2,2,2,2,2,2_178879005_180056547,2,2,2,2,2,2,2,2,2,2,2,chr21,178879005,180056547
2,29429970,2,2,2,2,2,2,2,2,2,2,2,19_15882981_16146400,2,2,2,2,2,2,2,2,2,2,2,chr2,15882981,16146400
6,60339430,2,2,2,2,2,2,2,2,2,2,2,17_6900116_9083397,0,0,0,0,0,0,0,0,0,0,0,chr6,6900116,9083397
6,139300829,2,2,2,2,2,2,2,2,2,2,2,17_71746796_73886836,2,2,2,2,2,2,2,2,2,2,2,chr6,71746796,73886836
5,32266595,2,4,2,2,4,4,2,2,2,2,2,2_223918019_232026275,2,0,2,2,0,0,2,2,2,2,2,chr5,223918019,232026275
3,3734333,2,2,2,2,2,2,2,2,2,2,2,10_12803023_13344041,2,2,2,2,2,2,2,2,2,2,2,chr3,12803023,13344041
8,26477922,2,2,2,2,2,2,2,2,2,2,1,14_106641761_107283126,2,2,2,2,2,2,2,2,2,2,2,chr8,106641761,107283126
6,117431506,2,4,2,2,2,2,2,2,2,2,2,19_1783250_2210451,2,0,2,2,2,2,2,2,2,2,2,chr6,1783250,2210451
8,24042475,3,3,3,3,3,3,3,3,3,3,3,3_14708976_15116464,2,2,2,2,2,2,2,2,2,2,2,chr8,14708976,15116464
12,103657271,2,2,2,2,2,2,2,2,2,2,2,6_128388859_131184960,2,2,2,2,2,2,2,2,2,2,2,chr12,128388859,131184960
16,12446941,4,4,4,4,4,4,4,4,4,4,4,18_5233187_10532808,2,2,2,2,2,2,2,2,2,2,2,chr16,5233187,10532808
20,50648952,2,2,2,2,2,2,2,2,2,2,2,19_17212669_17516443,2,2,2,2,2,2,2,2,2,2,2,chr20,17212669,17516443
6,33345291,2,0,2,2,0,0,2,2,2,2,2,6_25420271_26373326,2,4,2,2,4,4,2,2,2,2,2,chr6,25420271,26373326
3,5615453,2,2,2,2,2,2,2,2,2,2,3,4_25929957_30341558,2,2,2,2,2,2,2,2,2,2,3,chr3,25929957,30341558
19,21737757,1,1,2,1,1,1,1,1,2,2,2,5_140254930_169810604,2,2,2,2,2,2,2,2,2,2,2,chr19,140254930,169810604
4,95255700,2,2,2,2,2,0,2,2,2,2,2,19_51051808_51530870,2,2,2,2,2,4,2,2,2,2,2,chr4,51051808,51530870
5,114202345,2,2,2,2,2,2,2,2,2,2,2,14_23013105_23021002,2,2,2,2,2,2,2,2,2,2,2,chr5,23013105,23021002
3,114727013,2,2,2,2,2,2,2,2,2,2,2,11_108464192_113561016,2,2,2,2,2,2,2,2,2,3,2,chr3,108464192,113561016
10,17550893,2,2,2,2,2,2,2,2,2,2,2,11_60543110_60899827,2,2,2,2,2,2,2,2,2,2,2,chr10,60543110,60899827
9,97172954,3,3,2,3,3,3,3,3,2,2,2,19_6994960_7427607,3,3,2,3,3,3,3,3,2,2,2,chr9,6994960,7427607
2,84451034,2,2,2,2,2,1,2,2,2,2,2,8_94359032_104166794,2,2,2,2,2,2,2,2,2,2,2,chr2,94359032,104166794
5,139086186,3,3,3,3,3,3,3,3,3,3,3,5_6020418_6620197,3,3,3,3,3,3,3,3,3,3,3,chr5,6020418,6620197
5,145468915,2,2,2,2,2,2,2,2,2,2,2,7_107013005_116544464,2,1,2,2,1,1,2,2,2,2,2,chr5,107013005,116544464
2,142750230,2,2,2,2,2,2,2,2,2,2,2,6_41196095_41204217,2,2,2,2,2,2,2,2,2,2,2,chr2,41196095,41204217
1,184683249,2,2,2,2,2,2,2,2,2,2,2,10_73375216_73767986,4,4,4,4,4,4,4,4,4,4,4,chr1,73375216,73767986
5,57060712,2,2,2,2,2,2,2,2,2,2,2,7_5253998_6714484,2,2,2,2,2,2,2,2,2,2,1,chr5,5253998,6714484
15,97933400,3,3,2,3,3,3,3,3,2,2,2,11_57799379_59225172,3,3,2,3,3,3,3,3,2,2,2,chr15,57799379,59225172
1,111165271,2,2,2,2,2,0,2,2,2,2,2,14_22993332_23012979,2,2,2,2,2,4,2,2,2,2,2,chr1,22993332,23012979
2,157604839,2,2,2,2,2,2,2,2,2,2,2,11_193863_243987,1,2,2,2,2,2,2,2,2,2,2,chr2,193863,243987
6,145396572,3,3,3,3,3,3,3,3,3,3,3,2_27688477_31422452,2,2,2,2,2,2,2,2,2,2,2,chr6,27688477,31422452
16,13947798,2,2,2,2,2,2,2,2,2,2,2,19_50938969_51022714,3,3,3,3,3,3,3,3,3,3,3,chr16,50938969,51022714
21,33856996,2,2,2,2,2,2,2,2,2,2,0,11_64856108_65479823,2,2,2,2,2,2,2,2,2,2,4,chr21,64856108,65479823
22,47999347,2,2,2,2,2,2,2,2,2,2,2,14_65250926_69791571,0,0,0,0,0,0,0,0,0,0,0,chr22,65250926,69791571
15,20579265,2,2,2,2,2,2,2,2,2,0,2,19_5894694_6990821,2,2,2,2,2,2,2,2,2,4,2,chr15,5894694,6990821
4,127862166,2,2,2,2,2,2,2,2,1,1,1,8_87543389_88622001,2,2,2,2,2,2,2,2,2,2,2,chr4,87543389,88622001
1,207944005,4,2,2,2,2,2,4,4,2,2,2,3_141932356_143412205,0,2,2,2,2,2,0,0,2,2,2,chr1,141932356,143412205
3,136471521,2,2,2,2,2,2,2,2,2,2,2,19_8808942_8977511,3,3,3,3,3,3,3,3,3,3,3,chr3,8808942,8977511
6,14863014,0,0,2,0,0,0,0,0,2,2,2,11_126162913_130341042,4,4,2,4,4,4,4,4,2,2,2,chr6,126162913,130341042
17,25199428,2,2,2,2,2,2,2,2,2,2,2,3_8496563_8590329,2,1,2,2,1,1,2,2,2,2,2,chr17,8496563,8590329
4,45698653,2,2,2,2,2,2,2,2,2,2,2,18_14796214_15004191,2,2,2,2,2,2,2,2,2,2,2,chr4,14796214,15004191
2,169112958,2,2,2,2,2,4,2,2,2,2,2,11_499782_1480375,2,2,2,2,2,0,2,2,2,2,2,chr2,499782,1480375
12,9226470,2,2,2,2,2,3,2,2,2,2,2,3_85008696_90504853,2,2,2,2,2,2,2,2,2,2,2,chr12,85008696,90504853
3,32570239,2,2,2,2,2,2,2,2,2,2,2,12_11992048_32481213,2,2,2,2,2,2,2,2,2,2,2,chr3,11992048,32481213
8,81432074,2,2,2,2,2,2,2,2,2,2,2,15_56946640_59752510,2,2,2,2,2,2,2,2,2,2,2,chr8,56946640,59752510
7,117451716,2,2,2,2,2,2,2,2,2,2,2,6_42562027_44219105,2,2,2,2,2,2,2,2,2,2,2,chr7,42562027,44219105
11,2092208,4,4,4,4,4,4,4,4,4,4,4,11_65545995_65629325,2,2,2,2,2,2,2,2,2,2,2,chr11,65545995,65629325
1,242173688,2,2,2,2,2,2,2,2,2,2,2,3_129218830_130145289,4,4,4,4,4,4,4,4,4,4,4,chr1,129218830,130145289
20,59718254,4,4,4,4,4,4,4,4,4,4,4,3_124378104_125257353,0,0,0,0,0,0,0,0,0,0,0,chr20,124378104,125257353
20,53182903,0,0,2,0,0,0,0,0,2,2,2,1_11561692_17557272,4,4,2,4,4,4,4,4,2,2,2,chr20,11561692,17557272
6,86571306,2,2,2,2,2,2,2,2,2,2,2,1_158644160_158985656,2,2,2,2,2,2,2,2,2,2,2,chr6,158644160,158985656
11,71707786,3,3,3,3,3,3,3,3,3,3,3,2_234235749_234601755,3,3,3,3,3,3,3,3,3,3,3,chr11,234235749,234601755
4,79415899,0,2,2,2,2,2,0,0,2,2,2,11_103908735_108464103,4,2,2,2,2,2,4,4,2,2,2,chr4,103908735,108464103
3,96455093,2,2,2,2,2,2,2,2,2,2,2,17_49270098_64738819,2,2,2,2,2,1,2,2,2,2,2,chr3,49270098,64738819
4,133101048,2,2,2,2,2,2,2,2,2,2,2,5_52404287_55204372,2,2,2,2,2,2,2,2,2,2,2,chr4,52404287,55204372
9,107308175,2,2,2,2,2,2,2,2,2,2,2,2_99797416_101549566,2,2,2,2,2,2,2,2,2,2,2,chr9,99797416,101549566
5,138301851,1,2,2,2,2,2,2,1,2,2,2,18_158494_658170,2,2,2,2,2,2,2,2,2,2,2,chr5,158494,658170
20,60695834,2,2,2,2,2,2,2,2,2,2,2,19_49619761_49671118,2,2,2,2,2,2,2,2,2,2,2,chr20,49619761,49671118
7,26605574,2,2,2,2,2,2,2,2,2,2,2,20_34152774_34542404,1,2,2,2,2,2,1,1,2,2,2,chr7,34152774,34542404
11,78461373,3,3,3,3,3,3,3,3,3,3,3,12_102011002_102869600,2,2,2,2,2,2,2,2,2,2,2,chr11,102011002,102869600
20,77019,3,2,2,2,2,2,3,3,2,2,2,16_84030974_84035542,3,2,2,2,2,2,3,3,2,2,2,chr20,84030974,84035542
2,80650500,3,3,3,3,3,3,3,3,3,3,3,13_23243350_25356059,3,3,3,3,3,3,3,3,3,3,3,chr2,23243350,25356059
3,97441187,2,2,2,2,2,2,2,2,2,2,2,1_762273_1991098,2,2,2,2,2,2,2,2,2,2,2,chr3,762273,1991098
15,46668173,2,2,2,2,2,2,2,2,2,2,2,9_135975633_136135365,2,2,2,2,2,2,2,2,2,2,2,chr15,135975633,136135365
17,36524686,2,0,2,2,0,0,2,2,2,2,2,11_118888963_120041514,2,4,2,2,4,4,2,2,2,2,2,chr17,118888963,120041514
13,53503202,2,2,2,2,2,2,2,2,2,2,2,17_29852041_31105640,3,3,3,3,3,3,3,3,3,3,3,chr13,29852041,31105640
17,24644578,2,2,2,2,2,2,2,2,2,3,2,19_8977514_9047267,2,2,2,2,2,2,2,2,2,2,2,chr17,8977514,9047267
3,187323551,2,2,2,2,2,2,2,2,2,2,2,20_3673531_3682149,2,2,2,2,2,2,2,2,2,2,2,chr3,3673531,3682149
